fold_id,cost_ratio,c_under,c_over,gain_no_tuning,gain_tuned,best_alpha,cost_lgb_no_tuning,cost_lgb_tuned,cost_seasn,tuning_uplift
1,1.0,1.0,1.0,-153.40861957031848,1664.2009793749148,0.5,10217.408619570318,8399.799020625085,10064.0,1817.6095989452333
1,2.0,2.0,1.0,-455.3372267230079,6342.0578359158935,0.9,19557.337226723008,12759.942164084106,19102.0,6797.395062638901
1,3.0,3.0,1.0,-757.2658338756955,11879.806666986007,1.0,28897.265833875696,16260.193333013993,28140.0,12637.072500861703
1,5.0,5.0,1.0,-1361.1230481810708,23232.761405743957,1.0,47577.12304818107,22983.238594256043,46216.0,24593.884453925028
2,1.0,1.0,1.0,-728.5687995797434,-370.2515832851259,0.2,7311.568799579743,6953.251583285126,6583.0,358.31721629461754
2,2.0,2.0,1.0,-2615.0480159868803,173.71724055657614,0.4,13582.04801598688,10793.282759443424,10967.0,2788.7652565434564
2,3.0,3.0,1.0,-4501.527232394019,1853.6306410090492,0.6,19852.52723239402,13497.36935899095,15351.0,6355.157873403068
2,5.0,5.0,1.0,-8274.485665208293,6538.986711000271,0.8,32393.485665208293,17580.01328899973,24119.0,14813.472376208563
3,1.0,1.0,1.0,64.10363754809987,297.5027789251908,-0.1,4419.8963624519,4186.497221074809,4484.0,233.39914137709093
3,2.0,2.0,1.0,31.239056773450102,31.239056773450102,0.0,5889.76094322655,5889.76094322655,5921.0,0.0
3,3.0,3.0,1.0,-1.6255240011996648,349.3783029225933,0.1,7359.6255240012,7008.621697077407,7358.0,351.003826923793
3,5.0,5.0,1.0,-67.3546855504992,1725.379133980674,0.25,10299.3546855505,8506.620866019326,10232.0,1792.7338195311731
4,1.0,1.0,1.0,-778.2150046725674,-638.7283030667259,0.15,6761.215004672567,6621.728303066726,5983.0,139.48670160584152
4,2.0,2.0,1.0,-2359.9596744551236,-453.74564018664387,0.5,11224.959674455124,9318.745640186644,8865.0,1906.2140342684797
4,3.0,3.0,1.0,-3941.70434423768,708.3304127398987,0.7,15688.70434423768,11038.669587260101,11747.0,4650.034756977579
4,5.0,5.0,1.0,-7105.193683802794,4347.493581961711,1.0,24616.193683802794,13163.506418038289,17511.0,11452.687265764505
