event,n_days,n_rows,cost_ratio,c_under,c_over,gain_no_tuning,gain_tuned,best_alpha
black_friday_2017,13,351,1.0,1.0,1.0,-188.09482026417118,895.3784300276693,1.0
black_friday_2017,13,351,2.0,2.0,1.0,-399.2850745199339,2145.7819567941506,1.0
black_friday_2017,13,351,3.0,3.0,1.0,-610.4753287756957,3396.185483560632,1.0
black_friday_2017,13,351,5.0,5.0,1.0,-1032.8558372872194,5896.992537093594,1.0
dia_dos_namorados_2018,13,351,1.0,1.0,1.0,-60.47914036588577,147.11174407771614,-0.2
dia_dos_namorados_2018,13,351,2.0,2.0,1.0,0.4668926881013249,42.545849233735225,-0.1
dia_dos_namorados_2018,13,351,3.0,3.0,1.0,61.41292574208819,61.41292574208819,0.0
dia_dos_namorados_2018,13,351,5.0,5.0,1.0,183.30499185006215,183.30499185006215,0.0
